Metro,POP_1980,LPOP_1980,R90_10_1980,POP_2015,LPOP_2015,R90_10_2015,nyt_display,state_display,highlight
"jacksonville, fl",732600,5.9,4.3,1418588,6.2,5.3,Jacksonville,Fla.,NaN
"raleigh, nc",527500,5.7,3.8,1332549,6.1,5.8,Raleigh,N.C.,NaN
"new orleans-metairie, la",1179200,6.1,4.7,1261711,6.1,6.1,New Orleans-Metairie,La.,NaN
"louisville/jefferson county, ky-in",903400,6,3.9,1256728,6.1,4.9,Louisville/jefferson County,Ky.-Ind.,NaN
"richmond, va",767100,5.9,3.9,1253875,6.1,5.7,Richmond,Va.,NaN
"greenville, sc",707200,5.8,3.8,1248146,6.1,5.2,Greenville,S.C.,NaN
"memphis, tn-ms-ar",913000,6,4.2,1238636,6.1,5.4,Memphis,Tenn.-Miss.-Ark.,NaN
"hartford-west hartford-east hartford, ct",868900,5.9,3.9,1212693,6.1,5.1,Hartford-West Hartford-East Hartford,Conn.,NaN
"buffalo-cheektowaga-niagara falls, ny",1233900,6.1,3.7,1135415,6.1,4.5,Buffalo-Cheektowaga-Niagara Falls,N.Y.,NaN
"birmingham-hoover, al",838200,5.9,4.5,1132246,6.1,5.8,Birmingham-Hoover,Ala.,NaN
"rochester, ny",970900,6,3.9,1116824,6,4.8,Rochester,N.Y.,NaN
"omaha-council bluffs, ne-ia",561700,5.7,3.8,1009900,6,4.8,Omaha-Council Bluffs,Neb.-Iowa,NaN
"tucson, az",526700,5.7,4.2,1009377,6,5.4,Tucson,Ariz.,NaN
"urban honolulu, hi",763500,5.9,4.2,998556,6,4.8,Urban Honolulu,Hawaii,NaN
"fresno, ca",507900,5.7,3.8,973514,6,6.3,Fresno,Calif.,NaN
"fairfield-bridgeport, ct",720500,5.9,5.6,947268,6,8.7,"Fairfield, Conn.",Conn.,1
"knoxville, tn",474100,5.7,4.4,946264,6,5.6,Knoxville,Tenn.,NaN
"dayton, oh",1021600,6,3.9,936279,6,4.7,Dayton,Ohio,NaN
"worcester, ma-ct",373000,5.6,3.6,930871,6,5,Worcester,Mass.-Conn.,NaN
"grand rapids-wyoming, mi",603000,5.8,3.6,916174,6,4.8,Grand Rapids-Wyoming,Mich.,NaN
"albuquerque, nm",456400,5.7,4.5,891687,6,6,Albuquerque,N.M.,NaN
"bakersfield, ca",403400,5.6,4.6,880536,5.9,7.1,Bakersfield,Calif.,NaN
"new haven-milford, ct",414100,5.6,4,858244,5.9,5,New Haven-Milford,Conn.,NaN
"oxnard-thousand oaks-ventura, ca",530900,5.7,4.4,850494,5.9,6.9,Oxnard-Thousand Oaks-Ventura,Calif.,NaN
"albany-schenectady-troy, ny",802300,5.9,3.8,849702,5.9,4.7,Albany-Schenectady-Troy,N.Y.,NaN
"mcallen-edinburg-mission, tx",286600,5.5,4.1,842623,5.9,5.4,Mcallen-Edinburg-Mission,Tex.,NaN
"el paso, tx",428500,5.6,4.2,835217,5.9,5,El Paso,Tex.,NaN
"allentown-bethlehem-easton, pa-nj",633400,5.8,4,833199,5.9,5.3,Allentown-Bethlehem-Easton,Pa.-N.J.,NaN
"baton rouge, la",495400,5.7,4.6,829535,5.9,5.9,Baton Rouge,La.,NaN
"columbia, sc",406400,5.6,4.1,811492,5.9,4.7,Columbia,S.C.,NaN
"sarasota, fl",359200,5.6,4,770618,5.9,5.3,Sarasota,Fla.,NaN
"charleston-north charleston, sc",426100,5.6,3.9,744401,5.9,5.1,Charleston-North Charleston,S.C.,NaN
"stockton-lodi, ca",352400,5.5,3.9,726209,5.9,5.7,Stockton-Lodi,Calif.,NaN
"akron, oh",654900,5.8,3.6,704634,5.8,5.2,Akron,Ohio,NaN
"little rock-north little rock-conway, ar",341000,5.5,4,703822,5.8,5.6,Little Rock-North Little Rock-Conway,Ark.,NaN
"harrisburg, pa",445400,5.6,3.5,703051,5.8,4.9,Harrisburg,Pa.,NaN
"cape coral-fort myers, fl",203400,5.3,4,701529,5.8,5.1,Cape Coral-Fort Myers,Fla.,NaN
"boise city, id",168800,5.2,4.3,701305,5.8,5.5,Boise City,Idaho,NaN
"colorado springs, co",318700,5.5,4,697194,5.8,5.6,Colorado Springs,Colo.,NaN
"des moines-west des moines, ia",338700,5.5,3.6,683184,5.8,5.1,Des Moines-West Des Moines,Iowa,NaN
"syracuse, ny",645600,5.8,3.8,672995,5.8,4.8,Syracuse,N.Y.,NaN
